Player,Squad,Pos,Att,Cmp,Cmp_pct,Group
Alexis Mac Allister,ARG,MF,430,391,91,Finalist
Emiliano Martinez,ARG,GK,268,196,73,Finalist
Enzo Fernandez,ARG,MF,519,477,92,Finalist
Exequiel Palacios,ARG,MF,94,89,95,Finalist
Facundo Medina,ARG,DF,163,150,92,Finalist
Gonzalo Montiel,ARG,DF,100,81,81,Finalist
Julian Alvarez,ARG,FW,215,183,85,Finalist
Leandro Paredes,ARG,MF,565,531,94,Finalist
Lionel Messi,ARG,FW,367,286,78,Finalist
Lisandro Martinez,ARG,DF,450,423,94,Finalist
Nahuel Molina,ARG,DF,276,235,85,Finalist
Nico Gonzalez,ARG,MF,109,90,83,Finalist
Nicolas Otamendi,ARG,DF,187,178,95,Finalist
Nicolas Tagliafico,ARG,DF,217,191,88,Finalist
Rodrigo De Paul,ARG,MF,327,301,92,Finalist
Thiago Almada,ARG,FW,170,155,91,Finalist
Alex Baena,ESP,MF,218,179,82,Finalist
Aymeric Laporte,ESP,DF,660,620,94,Finalist
Dani Olmo,ESP,FW,229,206,90,Finalist
Fabian Ruiz,ESP,MF,297,267,90,Finalist
Ferran Torres,ESP,FW,86,63,73,Finalist
Lamine Yamal,ESP,FW,265,225,85,Finalist
Marcos Llorente,ESP,DF,152,141,93,Finalist
Mikel Merino,ESP,MF,101,89,88,Finalist
Mikel Oyarzabal,ESP,FW,149,124,83,Finalist
Pau Cubarsi,ESP,DF,690,669,97,Finalist
Pedri,ESP,MF,469,422,90,Finalist
Pedro Porro,ESP,DF,420,378,90,Finalist
Rodri,ESP,MF,799,743,93,Finalist
Unai Simon,ESP,GK,314,254,81,Finalist
Konrad Laimer,AUT,MF,150,130,87,Non-finalist
Hans Vanaken,BEL,MF,164,153,93,Non-finalist
Nicolas Raskin,BEL,MF,230,198,86,Non-finalist
Stjepan Radeljic,BIH,DF,153,138,90,Non-finalist
Lucas Paqueta,BRA,MF,190,162,85,Non-finalist
Ismael Kone,CAN,MF,108,93,86,Non-finalist
Ibrahim Sangare,CIV,MF,190,173,91,Non-finalist
Daniel Munoz,COL,DF,213,194,91,Non-finalist
Jamiro Monteiro,CPV,MF,106,87,82,Non-finalist
Josko Gvardiol,CRO,DF,89,77,87,Non-finalist
Martin Baturina,CRO,MF,93,80,86,Non-finalist
Ahmed Fatouh,EGY,DF,182,164,90,Non-finalist
Jules Kounde,FRA,DF,353,314,89,Non-finalist
Rayan Cherki,FRA,MF,104,89,86,Non-finalist
Amir Alammari,IRQ,MF,125,99,79,Non-finalist
Kou Itakura,JPN,DF,110,107,97,Non-finalist
Kim Seunggyu,KOR,GK,116,85,73,Non-finalist
Paik Seungho,KOR,MF,152,135,89,Non-finalist
Issa Diop,MAR,DF,326,300,92,Non-finalist
Antonio Nusa,NOR,FW,83,62,75,Non-finalist
Torbjorn Heggem,NOR,DF,301,283,94,Non-finalist
Andres Andrade,PAN,DF,178,148,83,Non-finalist
Andres Cubas,PAR,MF,117,97,83,Non-finalist
Diego Gomez,PAR,MF,101,80,79,Non-finalist
Teboho Mokoena,RSA,MF,196,176,90,Non-finalist
El Hadji Malick Diouf,SEN,DF,89,74,83,Non-finalist
Moussa Niakhate,SEN,DF,290,270,93,Non-finalist
Montassar Talbi,TUN,DF,113,107,95,Non-finalist
Sebastian Berhalter,USA,MF,136,114,84,Non-finalist
Otabek Shukurov,UZB,MF,117,103,88,Non-finalist
